"age","y","n","p"
20,0,1,0
23,0,1,0
24,0,1,0
25,1,2,0.5
26,0,2,0
28,0,2,0
29,0,1,0
30,0,5,0
31,1,1,1
32,0,2,0
33,0,2,0
34,1,5,0.2
35,0,2,0
36,1,3,0.333333333333333
37,1,3,0.333333333333333
38,0,2,0
39,1,2,0.5
40,1,2,0.5
41,1,3,0.333333333333333
42,0,3,0
43,1,3,0.333333333333333
44,2,4,0.5
45,1,2,0.5
46,1,2,0.5
47,1,3,0.333333333333333
48,2,3,0.666666666666667
49,1,3,0.333333333333333
50,1,3,0.333333333333333
52,1,2,0.5
53,2,2,1
54,1,1,1
55,2,3,0.666666666666667
56,3,3,1
57,5,7,0.714285714285714
58,2,2,1
59,2,2,1
60,0,2,0
61,1,1,1
62,2,2,1
63,1,1,1
64,1,2,0.5
65,1,1,1
69,1,1,1
